question;option1;option2;option3;correct
Kdo je věcným správcem Portálu veřejné správy?;Ministerstvo vnitra;Digitální a informační agentura;Úřad vlády; B
Co jsou to prostorové informace?;Informace o prostoru a čase;Informace získané interpretací prostorových dat a vztahů mezi nimi;Grafické znázornění územních jevů, využívaných zejména ve stavebnictví; B
Co jsou to prostorová data?;Data o prostoru a čase;Data vztahující se ke konkrétním místům v prostoru, která obsahují i vyjádření polohy těchto míst;Grafické znázornění územních jevů, využívaných zejména ve stavebnictví; B
Co je to národní infrastruktura pro prostorové informace?;Soustava politik, zásad, znalostí, technických specifikací, institucionálních opatření, technologií a prostorových dat a služeb;Soustava telekomunikačních sítí sloužících ke sdílení prostorových dat;Informační systém veřejné správy sloužící k zpřístupňování dat a poskytování služeb založených na prostorových datech; A
Jaký je základní koncepční dokument v oblasti koordinace národní infrastruktury pro prostorové informace na národní úrovni?;Strategie rozvoje národní infrastruktury pro prostorové informace po roce 2020;Strategie implementace INSPIRE;Koncepce Digitální ekonomika a společnost; A
Co je Národní geoportál;Rozhraní pro přístup k prostorovým datům a službám nad prostorovými daty způsobem umožňujícím dálkový přístup;Portál obsahující data o technické infrastruktuře;Informační systém veřejné správy obsahující metadata o prostorových datech a o projektech a určených projektech v oblasti prostorových informací; A
Kdo je správcem registru smluv?;Ministerstvo vnitra;Digitální a informační agentura;Ministerstvo zemědělství; B
Pokud smlouva, která musí být zveřejněna v registru smluv, není zveřejněna ani ve lhůtě 3 měsíců ode dne jejího uzavření, je;zrušená od počátku (neplatná);vymazána z interní databáze;promlčená; A
Jak se v registru smluv smlouvy uveřejňují?;Zasláním smlouvy v listinné podobě doporučeně Ministerstvu vnitra;Zasláním smlouvy a jejích metadat do datové schránky správce registru smluv;Nahráním smlouvy na portál veřejné správy; B
Jaké jsou základní 4 principy přístupnosti internetových stránek a mobilních aplikací?;Vnímatelnost, ovladatelnost, srozumitelnost, stabilita;Intuitivnost, informace podle z. č. 106/1999 Sb., dostupnost, ovladatelnost;Ovladatelnost, uživatelská přívětivost, minimálně 5 jazykových mutací, intuitivnost; A
Který z následujících subjektů není povinným subjektem dle zákona o přístupnosti internetových stránek a mobilních aplikací?;Stát;Územní samosprávný celek;Fyzická osoba – osobní internetové stránky; C
Co je Katalog služeb?;Seznam služeb, které město nebo obec nabízí občanům;Místo, kde mohu objednávat služby;Primární zdroj informací o službách státní správy a místo, kde jsou zveřejňovány elektronické formuláře; C
Kdo vytváří a udržuje obsah Katalogu služeb?;Ministerstvo vnitra;Digitální a informační agentura;Ohlašovatel agendy; C
Jaký je účel Katalogu služeb?;Evidovat všechny služby, které by si uživatelé přáli;Inventarizovat všechny služby, jejich úkony (transakce) a obslužné kanály (způsoby vyřízení);Evidovat jen digitalizované služby; B
Kde jsou zveřejňovány elektronické formuláře?;Na portálech jednotlivých ministerstev;V Katalogu služeb na Portálu veřejné správy;Na portálu Digitální a informační agentury; B
Je elektronický formulář ve formátu PDF podle Zákona o právu na digitální službu?;Ne, není;Ano, pokud umožňuje vyplňovat data;Ano, pokud umožňuje po prokázání totožnosti uživatele automatizované doplnění údajů; C
Je MS Word elektronický formulář?;Ano, pokud umožňuje vyplňovat data;Ne, není;Ano, pokud je k dispozici na portále OVM; B
Co je elektronický formulář?;Interaktivní nástroj, který slouží pro získávání dat od uživatelů;Dokument v MS Word, který obsahuje formulář;Jakýkoliv dokument ve formátu PDF; A
Na co nemá uživatel právo v rámci Zákona o právu na digitální službu?;Nemá právo na využívání údajů;Nemá právo na pravidelné informace ohledně povinností občana;Nemá právo na prokázání právní odpovědnosti; B
Který ústřední orgán státní správy má ve své gesci problematiku kybernetické bezpečnosti?;Ministerstvo vnitra České republiky;Digitální informační agentura;Národní úřad pro kybernetickou a informační bezpečnost; C
Co je to hrozba?;Potenciální příčina kybernetické bezpečnostní události nebo kybernetického bezpečnostního incidentu, která může způsobit škodu;Informace nebo služba, kterou zpracovává nebo poskytuje informační a komunikační systém;Vlastnost, že informace je přístupná pouze oprávněným osobám; A
Co je to zranitelnost?;Slabé místo podpůrného aktiva nebo slabé místo bezpečnostního opatření, které může být zneužito jednou nebo více hrozbami;Jeden z prvků návrhu pro zvýšený kybernetické bezpečnosti;Z pohledu kybernetické bezpečnosti bezvýznamná vlastnost informace; A
Který zákon jako hlavní reguluje kybernetickou bezpečnost v České republice?;Zákon č. 480/2004 Sb., o některých službách informační společnosti;Nařízení vlády č. 432/2010 Sb., o kritériích pro určení prvku kritické infrastruktury;Zákon č. 181/2014 Sb., o kybernetické bezpečnosti a o změně souvisejících zákonů (zákon o kybernetické bezpečnosti), v platném znění; C
Co je to kybernetický bezpečnostní incident?;Neprovádění každoroční aktualizace bezpečnostních systémů;Slabé místo podpůrného aktiva nebo slabé místo bezpečnostního opatření, které útočník využije;Narušení bezpečnosti informací v informačních systémech nebo narušení bezpečnosti služeb anebo bezpečnosti a integrity sítí elektronických komunikací) v důsledku kybernetické bezpečnostní události; C
Jak označujeme manipulativní techniky, které útočníci využívají k manipulaci uživatelů?;Phishing;Sociální inženýrství;Bezpečnostní politika; B
Co je nejslabším článkem kybernetické bezpečnosti?;Nepoučený uživatel;Firewall;Architekt kybernetické bezpečnosti; A
Základní registr agend, orgánů veřejné moci, soukromoprávních uživatelů údajů a některých práv a povinností slouží;jako zdroj údajů pro informační systémy základních registrů při řízení přístupu uživatelů k údajům v jednotlivých registrech a agendových informačních systémech;k evidenci veřejnoprávních smluv uzavřených územními samosprávnými celky;k vyhledávání údajů o základních územních prvcích orgánů veřejné moci a soukromoprávních uživatelů údajů; A
Elektronická konverze dokumentů neznamená;úplné převedení elektronického dokumentu v listinné podobě do elektronické podoby;úplné převedení elektronického dokumentu do dokumentu v listinné podobě;převedení elektronického dokumentu do jiného formátu, než v kterém dokument je; C
Autorizovanou konverzí dokumentů z elektronické do listinné podoby se rozumí;opatření dokumentu zaručeným elektronickým podpisem;úplné převedení dokumentu obsaženého v datovém souboru do dokumentu v listinné podobě a připojení ověřovací doložky konverze;vytištění elektronického dokumentu na tiskárně počítače; B
Datová schránka je;elektronické úložiště určené k doručování orgány veřejné moci, provádění úkonů vůči orgánům veřejné moci nebo dodávání dokumentů fyzických osob, podnikajících fyzických osob a právnických osob;elektronický archiv sloužící k uchování elektronických datových zpráv;email sloužící k doručování orgány veřejné moci nebo provádění úkonů vůči orgánům veřejné moci; A
Datová schránka se nepoužije;při doručování na místě;na doručování rozhodnutí vydané ve správním řízení;pokud uživatel datové schránky požaduje doručovat písemnosti v listinné podobě; A
Editor základního registru;je orgán veřejné moci, který je oprávněn zapisovat referenční údaje do základního registru a provádět změny zapsaných referenčních údajů;nezodpovídá za správnost zapsaných referenčních údajů v základním registru;orgán veřejné moci, který není oprávněn zapisovat referenční údaje do základního registru a provádět změny zapsaných referenčních údajů; A
Mezi základní registry patří:;Informační systém datových schránek;registr řidičů;základní registr práv a povinností; C
Úloha Portálu veřejné správy:;jeho součástí je telefonní seznam všech zaměstnanců ve veřejné správě;sdružuje informace o všech informačních systémech užívaných ve veřejné správě;informační systém veřejné správy, který zajišťuje přístup k informacím státních orgánů, orgánů územních samosprávných celků a dalších orgánů veřejné moci a komunikaci s veřejnými orgány; C
Služby Czech POINTů nejsou zajišťovány:;krajskými úřady;úřadem práce České republiky;držitelem poštovní licence; B
V základním registru osob jsou vedeny údaje o:;"právnických osobách; podnikajících fyzických osobách; organizačních složkách právnických osob; zahraničních osobách a organizačních složkách zahraničních osob, organizační složkách státu a svěřenských fondech.";"občanech České republiky; cizincích s povolením k pobytu na území České republiky; cizincích, kterým byl na území ČR udělen azyl nebo doplňková ochrana.";"právnických osobách; podnikajících fyzických osobách; občanech České republiky; cizincích s povolením k pobytu na území České republiky; cizincích, kterým byl na území ČR udělen azyl nebo doplňková ochrana"; A
Zkratka „ISDS“ označuje:;Integrovaný systém dopravních staveb;Informační systém datových schránek;Integrovaný systém dopravy státu; B
Orgán veřejné moci doručuje dokumenty fyzické osobě, podnikající fyzické osobě nebo právnické osobě přednostně prostřednictvím;datové schránky;České pošty, s. p.;podle určení adresáta; A
Právní předpisy EU se rozdělují na;přímo vynutitelné a odvozené;primární a sekundární;obligatorní a s vnitrostátním segmentem; B
Zakládající smlouvy EU se řadí mezi právní předpisy;odvozené;sekundární;primární; C
Nařízení a směrnice EU jsou právní předpisy;sekundární;primární;vzorové; A
Nařízení EU;jsou pro členské státy přímo závazná;musejí členské státy promítnout do svého právního řádu aplikací do konkrétních právních předpisů;jsou přímo aplikovatelná pouze tehdy, týkají-li zahraniční politiky a obrany EU; A
Směrnice EU;jsou přímo závazné;musejí členské státy aplikovat do svého právního řádu, a pokud tak neučiní ve stanovené lhůtě, stávají se závaznými;jsou závazné, vysloví-li s nimi souhlas Poslanecká sněmovna; B
Soudní dvůr EU;je vrcholným orgánem ústavnosti EU;poskytuje ochranu občanům i neobčanům EU v oblasti lidských práv;provádí výklad práva EU, aby bylo uplatňováno stejným způsobem ve všech státech EU a urovnává právní spory mezi jednotlivými státy a orgány EU; C
Právo EU tvoří;nařízení, směrnice, rozhodnutí, zákony a stanoviska;nařízení, směrnice, rozhodnutí, stanoviska a mezinárodní smlouvy;nařízení, směrnice, rozhodnutí, doporučení a stanoviska; C
Ratifikované a vyhlášené mezinárodní smlouvy;nesmí být v rozporu se zákonem;mají stejnou právní sílu jako právní předpisy obcí a krajů;mají aplikační přednost před zákonem; C
Každý občan Evropské unie:;má petiční právo k Evropskému parlamentu;se může v krajních případech a prostřednictvím národního státu obracet na veřejného ochránce práv, a to v anglickém či francouzském jazyce;se může sám a bez omezení obracet na Soudní dvůr Evropské unie; A
Vyberte nepravdivé tvrzení:;Směrnice je právní akt stanovující cíl, jehož splnění je ze strany členských států dobrovolné.;Evropská centrální banka sídlí v Německu.;Nařízení je právně závazné.; A
Legislativní akty přijaté orgány Evropské unie se vyhlašují:;Ve Sbírce zákonů a mezinárodních smluv;Ve Věstníku směrnic a nařízení Evropské unie;V Úředním věstníku Evropské unie; C
Podle etického kodexu úředníků a zaměstnanců veřejné správy, vydaného vládou České republiky:;má rozhodnutí úředníka v co největší míře zasahovat do práv osob a má zohledňovat okolnosti konkrétního případu;má rozhodnutí úředníka v co nejmenší míře zasahovat do práv osob a má zohledňovat okolnosti konkrétního případu;má rozhodnutí úředníka v co nejmenší míře zasahovat do práv osob, přičemž má být vždy shodné bez ohledu na okolnosti konkrétního případu; B
Veřejný funkcionář nesmí po dobu 1 roku od zániku výkonu veřejné funkce v podnikající právnické osobě, které pomohl získat nadlimitní veřejnou zakázku:;působit;s ní obchodovat;doporučovat její výrobky; A
Před vyhrožováním s cílem působit na úřední osobu jsou chráněni:;úředníci ministerstev;úřední osoby a ti, kdo vystoupí na jejich obranu;pouze úřední osoby; B
Úředníci územních samosprávných celků jsou ze zákona mimo jiné povinni:;zachovávat mlčenlivost o skutečnostech, které se dozvěděli při výkonu zaměstnání nebo v souvislosti s ním a nosit do zaměstnání oblek;hájit při výkonu správních činností veřejný zájem a prohlubovat si kvalifikaci;jednat a rozhodovat nestranně a plnit jakékoliv pokyny vedoucích úředníků; B
Úředník smí přijímat dary:;pouze od zaměstnavatele;pouze do výše 2.000 Kč;pouze od neziskových organizací; A
Veřejní funkcionáři jsou každoročně povinni předkládat čestné prohlášení o:;osobním zájmu, vykonávaných činnostech, nabytém majetku a všech příjmech a výdajích;všech příjmech a darech, pocházejících od politicky angažovaných osob;osobním zájmu, vykonávaných činnostech, nabytém majetku a všech příjmech, darech a závazcích; C
Vykonávat výdělečnou činnost:;smí úředník bez souhlasu zaměstnavatele v případě, že jde například o činnost vědeckou;smí úředník s předchozím ústním souhlasem zaměstnavatele;nesmí úředník v žádném případě; A
Pokud jsem důvodně přesvědčen o oprávněnosti svého jednání, jednám z hlediska práva;s péčí řádného hospodáře;v dobrých mravech („bonos mores“);v dobré víře („bona fides“); C
Co se rozumí menšinou podle práva ČR?;takový pojem právní řád neupravuje;nejméně 3 % občanů obce narozených mimo území ČR;nejméně 3 % občanů kraje nebo 5 % občanů obce narozených mimo území obce; A
Národnostní menšinou se rozumí:;společenství občanů České republiky žijících na území současné České republiky, kteří se odlišují od ostatních občanů zpravidla společným etnickým původem, jazykem, kulturou a tradicemi, tvoří početní menšinu obyvatelstva a zároveň projevují vůli být považováni za národnostní menšinu;společenství občanů cizích států žijících na území současné České republiky, kteří se odlišují od ostatních občanů zpravidla společným etnickým původem, jazykem, kulturou a tradicemi, tvoří početní menšinu obyvatelstva a zároveň projevují vůli být považováni za národnostní menšinu;společenství občanů Evropské unie žijících na území současné České republiky, kteří se odlišují od ostatních občanů zpravidla společným etnickým původem, jazykem, kulturou a tradicemi, tvoří početní menšinu obyvatelstva a zároveň projevují vůli být považováni za národnostní menšinu; A
Příslušníkem národnostní menšiny je:;občan Evropské unie, který se hlásí k jiné než české národnosti a projevuje přání být považován za příslušníka národnostní menšiny spolu s dalšími, kteří se hlásí ke stejné národnosti;občan státu mimo Evropskou unii, který se hlásí k jiné než české národnosti a projevuje přání být považován za příslušníka národnostní menšiny spolu s dalšími, kteří se hlásí ke stejné národnosti;občan České republiky, který se hlásí k jiné než české národnosti a projevuje přání být považován za příslušníka národnostní menšiny spolu s dalšími, kteří se hlásí ke stejné národnosti; C
Zákon č. 159/2006 Sb. o střetu zájmů se nevztahuje na:;veřejné funkcionáře;člena zastupitelstva obce, městské části nebo městského obvodu územně členěného statutárního města nebo městské části hlavního města Prahy, který není pro výkon funkce dlouhodobě uvolněn;veřejného ochránce práv; B
Veřejný funkcionář je povinen:;zdržet se každého jednání, při kterém mohou jeho osobní zájmy ovlivnit výkon jeho funkce;nejpozději do 31. 3. podat daňové přiznání za předcházející kalendářní rok;při každém jednání upozornit na své postavení veřejného funkcionáře; A
Osobním zájmem veřejného funkcionáře se rozumí:;takový zájem, který přináší veřejnému funkcionáři nebo osobě blízké zvýšení majetku, majetkového nebo jiného prospěchu;takový zájem, který přináší veřejnému funkcionáři nebo osobě blízké navýšení majetku převyšující minimální mzdu stanovenou jiným právním předpisem;takový zájem, který přináší veřejnému funkcionáři nebo osobě blízké navýšení majetku převyšující uznatelnou hodnotu jeho průměrného měsíčního příjmu; A
Mezi základní povinnosti úředníka nepatří:;dodržovat ústavní pořádek České republiky;hájit při výkonu správních činností veřejný zájem;podávat vstupní a průběžné hlášení podle zákona č. 159/2006 Sb. o střetu zájmů; C
Mezi základní povinnosti úředníka patří:;prohlubování kvalifikace podle pokynů nadřízeného;dodržovat právní předpisy vztahující se k práci jím vykonávané;zdržet se jednání, jež by narušilo důvěryhodnost územního samosprávného celku; B
Mezi základní povinnosti úředníka patří:;jednat a rozhodovat nestranně s ohledem na své přesvědčení;zdržet se při výkonu práce všeho, co by mohlo ohrozit důvěru v nestrannost rozhodování;rozhodovat pouze v zájmu územního samosprávného celku; B
Ochrana oznamovatelů (whistleblowing):;není upraven právním řádem České republiky;je upraven právním řádem České republiky;je právní praxí v právní kultuře Common Law; B
Podstatou zákona o ochraně oznamovatelů je:;umožnit podávání anonymních oznámení o trestné činnosti;umožnit podávání oznámení o možném protiprávním jednání a poskytování ochrany oznamovateli;stanovení podmínek pro změnu identity oznamovatelům závažné trestné činnosti; B
Ochrana se podle zákona o ochraně oznamovatelů poskytuje:;oznamovateli;oznamovateli a osobám blízkým;oznamovateli, osobám blízkým a kolegovi oznamovatele; C
